Whale ID,Start Time (UTC),State,Sonar before EOE?,MFAS RL,MFAS cSEL,Echosounder Present?,Impulsive Sounds Present?,Orca Sounds Present?,Duration (hours),Foraging Dive Duration (hours),N Non-foraging Dives,Longest Non-foraging Dive (hours),Surface Time (hours),Echolocation Clicking Duration (minutes),Maximum Dive Depth (km),Distance Traveled (km)
Zica-20211112-94819,2021-11-18T10:42:02Z,Typical,No,None,0,No,No,No,4.5,1.5,6,0.6,0.3,30.6,1.8,0.6
Zica-20211112-94819,2021-11-18T15:12:32Z,Typical,No,None,0,No,No,No,2.7,1.3,3,0.4,0.2,41.8,1.8,0.9
Zica-20211112-94819,2021-11-18T17:52:40Z,Typical,No,88.9,87.4,No,No,No,3,1.1,5,0.4,0.2,41.3,1.8,1.6
Zica-20211112-94819,2021-11-18T20:52:08Z,Typical,Yes,118.3,116.2,No,No,No,4.7,1.2,7,0.5,0.4,36.1,1.8,2.4
Zica-20211112-94819,2021-11-19T01:35:09Z,Typical,No,None,0,No,No,No,4,1.4,5,0.6,0.3,35.7,1.7,1.2
Zica-20211112-94819,2021-11-19T05:37:29Z,Typical,No,105.5,108,No,No,No,3.2,1.5,4,0.4,0.2,39.2,1.7,0.2
Zica-20211112-94819,2021-11-19T08:51:47Z,Typical,No,None,0,No,No,No,3.6,1.2,4,0.6,0.3,39.9,1.6,0.8
Zica-20211112-94819,2021-11-19T12:25:24Z,Typical,No,None,0,No,No,No,4.5,1.4,6,0.6,0.3,39.2,1.8,1.9
Zica-20211112-94819,2021-11-19T16:54:31Z,Typical,No,None,0,No,No,No,3.4,1.4,4,0.5,0.2,38.9,1.5,3.3
Zica-20211112-94819,2021-11-19T20:17:49Z,Typical,No,None,0,No,No,No,NA,1.1,NA,NA,NA,35.6,1,NA
Zica-20211113-195993,2021-11-13T19:40:02Z,Variant,No,None,0,No,No,No,0.8,0.8,0,NA,0.1,25.5,1.5,1.9
Zica-20211113-195993,2021-11-13T20:30:26Z,Variant,No,None,0,No,No,No,2.7,1,4,0.5,0.2,25.4,1.5,1
Zica-20211113-195993,2021-11-13T23:14:02Z,Variant,No,None,0,No,No,No,1.4,1,1,0.3,0.1,27.8,1.6,0.8
Zica-20211113-195993,2021-11-14T00:35:36Z,Variant,No,None,0,No,No,No,1.9,0.9,3,0.3,0.1,24,1.6,0.9
Zica-20211113-195993,2021-11-14T02:26:36Z,Variant,No,None,0,No,No,No,1,0.8,1,0.2,0.1,27.6,1.6,1.3
Zica-20211113-195993,2021-11-14T03:29:22Z,Typical,No,None,0,No,No,No,2.5,0.9,4,0.4,0.2,32.5,0.7,2.3
